Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2007,ABR1,12,97.42,12.92,723.1,7.647,0.032,0.783,0.197,0.01,69.27,186.4,18.49,61,61,10.83,19,3.33,41.37,6.4,Nemoral beech forest
2007,CAM1,12,91.58,13.19,791.9,NA,NA,NA,NA,NA,56.6,181.5,17.93,61,61,21,34,2.17,28.22,5.77,Nemoral beech forest
2007,EMI1,12,70,14.25,645.1,NA,NA,NA,NA,NA,85.19,226.4,21.27,35,35,35.25,31,10.71,21.92,7.76,Nemoral oak forest
2007,FRI1,12,92.67,13.82,846.9,NA,NA,NA,NA,NA,63.29,303.6,20.47,31,31,14.35,56,33.58,21.64,7.04,Nemoral oak forest
2007,LAZ1,12,74.17,14.09,428.1,5.858,0.067,1.563,0.561,0.01,61.58,135.3,19.72,65,65,24,46,43.75,20.55,6.43,Nemoral oak forest
2007,MAR1,12,70.75,14.21,687.3,NA,NA,NA,NA,NA,41.5,189.5,20.46,26,26,9.83,55,22.5,25.21,6.79,Nemoral oak forest
2007,VAL1,12,68.33,4.01,1120.8,NA,NA,NA,NA,NA,59.11,614.8,8.78,21,21,20.14,28,0.75,17.53,5.25,Boreal forest
2007,VEN1,12,95,9.94,1016.5,NA,NA,NA,NA,NA,54.74,534.8,16.25,28,20,14,31,0,32.05,6.66,Nemoral beech forest
2008,ABR1,12,90.67,11.57,1614,7.158,0.018,1.101,0.216,0.01,79.74,423.7,16.46,17,17,5.17,17,3.92,37.7,6.27,Nemoral beech forest
2008,CAL1,12,91.5,14.32,1239.8,NA,NA,NA,NA,NA,121.73,153.7,18.67,75,75,20.3,20,1.5,14.48,5.79,Nemoral beech forest
2008,CAM1,12,83.83,12.93,971.5,NA,NA,NA,NA,NA,83.52,174.4,17.27,31,31,18,33,1.5,27.6,5.83,Nemoral beech forest
2008,EMI1,12,79.5,13.91,741.8,NA,NA,NA,NA,NA,103.01,284.1,20.3,38,26,55.52,27,15.33,16.12,7.77,Nemoral oak forest
2008,FRI1,12,91.75,13.39,1363.7,NA,NA,NA,NA,NA,47.33,527.7,19.58,32,18,16.13,49,35.42,11.48,7.14,Nemoral oak forest
